Name	County	Address	Eircode	LatitudeDD	LongatudeDD	Capacity	Tag
Beechwood Nursing Home	Carlow	Rathvindon, Leighlinbridge	R93DD43	52.7423595	-6.9770889	57	beechwood-nursing-home
Bellvilla Community Unit	Dublin	129 South Circular Road	D08TP2D	53.3314468	-6.2770341	49	bellvilla-community-unit
Belmont House Private Nursing Home	Dublin	Galloping Green, Stillorgan	A94KW44	53.2802093	-6.1874026	157	belmont-house-private-nursing-home
Bethany House Nursing Home	Westmeath	Main Street, Tyrrellspass	N91P5P6	53.3867203	-7.3806704	90	bethany-house-nursing-home
Birr Community Nursing Unit	Offaly	Sandymount, Birr	R42VN80	53.0980192	-7.8996559	74	birr-community-nursing-unit
Bishopscourt Residential Care	Cork	Liskillea, Waterfall, Near Cork	T12RV0P	51.8322328	-8.5498088	60	bishopscourt-residential-care
Blackrock Abbey Nursing Home	Louth	Cockle Hill, Blackrock, Dundalk	A91RP76	53.9582828	-6.3779759	64	blackrock-abbey-nursing-home
Blackrocks Nursing Home	Mayo	The Green Road, Foxford	F26WE00	53.987987	-9.1135836	48	blackrocks-nursing-home
Blair's Hill Nursing Home	Cork	Blair's Hill, Sunday's Well	T23NY65	51.9004108	-8.4906977	37	blairs-hill-nursing-home
Blake Manor Nursing Home	Galway	Ballinderreen, Kilcolgan	H91F510	53.1740558	-8.9021129	39	blake-manor-nursing-home
Blarney Nursing and Retirement Home	Cork	Killowen, Blarney	T23X084	51.9409939	-8.5899428	20	blarney-nursing-and-retirement-home
Borris Lodge Nursing Home	Carlow	Main Street, Borris	R95X060	52.6031564	-6.9292839	52	borris-lodge-nursing-home
Brabazon House	Dublin	2 Gilford Road, Sandymount	D04TN93	53.3283498	-6.2104931	51	brabazon-house
Bramleigh Lodge Nursing Home	Tipperary	Cashel Road, Cahir	E21AY88	52.378946	-7.9229118	26	bramleigh-lodge-nursing-home
Brampton Care & Rehabilitation Centre	Galway	Main Street, Oranmore	H91AR23	53.2681559	-8.9309934	94	brampton-care-rehabilitation-centre
Breffni Care Centre	Cavan	Ballyconnell	H14X048	54.1179325	-7.5839884	18	breffni-care-centre
Brentwood Manor Private Nursing Home	Donegal	Letterkenny Road, Convoy	F93PK11	54.8629392	-7.6626249	56	brentwood-manor-private-nursing-home
Bridhaven Nursing Home	Cork	Spa Glen, Mallow	P51WK80	52.1445368	-8.6420261	182	bridhaven-nursing-home
Brindley Manor Private Nursing Home	Donegal	Letterkenny Road, Convoy	F93ND80	54.8632205	-7.6645348	42	brindley-manor-private-nursing-home
Brookfield Care Centre	Cork	Leamlara	T56YX21	51.965395	-8.2644928	63	brookfield-care-centre
Brookhaven Nursing Home	Kilkenny	Donoughmore, Ballyraggett	R95YP63	52.7818069	-7.330361	71	brookhaven-nursing-home
Brooklodge Nursing Home Lmited	Galway	Ballyglunin, Tuam	H54W950	53.4292634	-8.7960046	45	brooklodge-nursing-home-lmited
Brookvale Manor Private Nursing Home	Mayo	Hazel Hill, Ballyhaunis	F35HX77	53.7589472	-8.7811418	50	brookvale-manor-private-nursing-home
Brymore House	Dublin	Thormanby Road, Howth	D13VK82	53.3825821	-6.0595655	25	brymore-house
Buncrana Community Hospital	Donegal	Maginn Avenue, Buncrana	F93X225	55.1340803	-7.4501095	41	buncrana-community-hospital
Bushfield Care Centre	Galway	Bushfield, Oranmore	H91Y299	53.2744241	-8.8841732	45	bushfield-care-centre
Bushmount Nursing Home	Cork	Bushmount, Clonakilty	P85VP94	51.6211583	-8.8950486	79	bushmount-nursing-home
